Position,GC_Content
0,43.82
5000,45.660000000000004
10000,46.04
15000,45.96
20000,45.190000000000005
25000,44.97
30000,45.39
35000,45.14
40000,45.379999999999995
45000,45.24
50000,44.04
55000,42.86
60000,42.309999999999995
65000,41.730000000000004
70000,43.26
75000,44.76
80000,44.690000000000005
85000,45.82
90000,45.81
95000,46.239999999999995
100000,47.32
105000,46.989999999999995
110000,46.21
115000,44.67
120000,44.71
125000,46.239999999999995
130000,47.0
135000,44.7
140000,43.35
145000,43.43
150000,42.21
155000,42.84
160000,43.35
165000,43.769999999999996
170000,44.87
175000,46.23
180000,46.7
185000,45.16
190000,45.07
195000,46.25
200000,46.35
205000,45.17
210000,42.01
215000,39.95
220000,40.129999999999995
225000,41.02
230000,42.67
235000,44.019999999999996
240000,44.190000000000005
245000,42.5
250000,42.57
255000,44.28
260000,46.64
265000,50.42
270000,50.629999999999995
275000,45.12
280000,42.19
285000,44.54
290000,46.92
295000,48.42
300000,46.400000000000006
305000,45.16
310000,46.160000000000004
315000,46.83
320000,44.42
325000,41.69
330000,42.88
335000,43.78
340000,44.32
345000,46.0
350000,46.739999999999995
355000,45.58
360000,44.96
365000,44.62
370000,45.14
375000,46.660000000000004
380000,46.43
385000,44.800000000000004
390000,43.94
395000,43.64
400000,44.57
405000,43.87
410000,44.4
415000,45.08
420000,44.07
425000,44.09
430000,44.629999999999995
435000,47.33
440000,49.68
445000,49.64
450000,48.3
455000,47.07
460000,46.150000000000006
465000,46.129999999999995
470000,46.300000000000004
475000,45.53
480000,44.21
485000,45.32
490000,46.02
495000,44.99
500000,44.78
505000,46.150000000000006
510000,45.16
515000,44.0
520000,45.64
525000,45.24
530000,45.81
535000,46.12
540000,45.29
545000,45.64
550000,45.78
555000,46.03
560000,46.94
565000,47.05
570000,45.79
575000,47.5
580000,48.86
585000,46.72
590000,42.02
595000,41.19
600000,43.05
605000,41.64
610000,40.08
615000,40.22
620000,44.879999999999995
625000,47.23
630000,45.17
635000,43.44
640000,43.89
645000,43.6
650000,42.11
655000,42.51
660000,42.83
665000,42.980000000000004
670000,44.26
675000,45.47
680000,46.160000000000004
685000,45.61
690000,45.739999999999995
695000,45.59
700000,45.0
705000,45.75
710000,46.53
715000,47.370000000000005
